DDCTransactionIdE00D2EAE477F28BF1D4CDDB5C9DFC7EA_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_222D3F804EB4AB5DA9BDE2BAE545EEF__18DD853840B0F872014C7A0CC5CED56A7A5D3CC6, StartTime=2016.05.09-01.54.06, HierarchicalDDC=, DataSize=22665, Duration=0.024080, RunGuid=RunIDFB75BE924FEC3CE5D0235DA8F464B135
DDCTransactionId8EB258B941998CE259F34EAFF0E3B246_9, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_B19E8D43472CA8B277E8CCA8993996A7_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000D000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.09-01.54.06, Duration=4.377891, RunGuid=RunIDFB75BE924FEC3CE5D0235DA8F464B135
DDCTransactionId8FA851D1470CE95951FF7EB15DD3E6AC_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_B19E8D43472CA8B277E8CCA8993996A__878CA4B0813C95120A256C74CF1AC98FA54BEF64, StartTime=2016.05.09-01.54.06, HierarchicalDDC=, DataSize=160312, Duration=0.053573, RunGuid=RunIDFB75BE924FEC3CE5D0235DA8F464B135
DDCTransactionId8EB258B941998CE259F34EAFF0E3B246_10, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7955065B46603C1F01981AAE67F3381B_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.09-01.54.06, Duration=36.796871, RunGuid=RunIDFB75BE924FEC3CE5D0235DA8F464B135
DDCTransactionId8FA851D1470CE95951FF7EB15DD3E6AC_8, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7955065B46603C1F01981AAE67F33__01321D8B21E5D0A85EC48E21B3D8F7F19D06DE93, StartTime=2016.05.09-01.54.06, HierarchicalDDC=, DataSize=262407, Duration=0.076450, RunGuid=RunIDFB75BE924FEC3CE5D0235DA8F464B135
DDCTransactionIdC4D61F1C454E52502D595DB8F66DB5AF_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7955065B46603C1F01981AAE67F33__AD1BC94ECBBDFD5E670CBBCE622C4859BC9C723F, StartTime=2016.05.09-01.54.06, HierarchicalDDC=, DataSize=65799, Duration=0.037022, RunGuid=RunIDFB75BE924FEC3CE5D0235DA8F464B135
DDCTransactionIdF2F671AF458A14CBA59115B53CDDDC26_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7955065B46603C1F01981AAE67F33__C4DE7BF8DB51CEE3D64DD74C78B110CB4BE17EF9, StartTime=2016.05.09-01.54.06, HierarchicalDDC=, DataSize=16647, Duration=0.025582, RunGuid=RunIDFB75BE924FEC3CE5D0235DA8F464B135
DDCTransactionIdC4D61F1C454E52502D595DB8F66DB5AF_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7955065B46603C1F01981AAE67F33__5AB65D05EF596D533648DE0108FEE2C7BA407CF7, StartTime=2016.05.09-01.54.06, HierarchicalDDC=, DataSize=6899, Duration=0.023779, RunGuid=RunIDFB75BE924FEC3CE5D0235DA8F464B135
DDCTransactionId8EB258B941998CE259F34EAFF0E3B246_11, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_RGBA16F_B138149959E96AA845BD6F4F24B925C7X_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000040000000200000001010100000000000101000000040000803F0002000000000000FF00FF00FFFF8180803B, StartTime=2016.05.09-01.54.06, Duration=7202.608398, RunGuid=RunIDFB75BE924FEC3CE5D0235DA8F464B135
DDCTransactionIdF2F671AF458A14CBA59115B53CDDDC26_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_RGBA16F_B138149959E96AA845BD6F4F24B92__69C7B3FD61BE1801E932D86FDC33A033B3526738, StartTime=2016.05.09-01.54.13, HierarchicalDDC=, DataSize=16777840, Duration=18.154182, RunGuid=RunIDFB75BE924FEC3CE5D0235DA8F464B135
DDCTransactionId8EB258B941998CE259F34EAFF0E3B246_12, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_55809E694EE7DB292235CC917A5C5C9F_07_0000803F0000803F0000803F000000000000803F00000000000000000000803FCDCC4C3F000000000800000006000100000000000102000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.09-01.54.13, Duration=8.168556, RunGuid=RunIDFB75BE924FEC3CE5D0235DA8F464B135
DDCTransactionId8FA851D1470CE95951FF7EB15DD3E6AC_9, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_55809E694EE7DB292235CC917A5C5__0DEE01AFDCD63EDCE050864E9B2048808D3D7B82, StartTime=2016.05.09-01.54.13, HierarchicalDDC=, DataSize=33031, Duration=0.025284, RunGuid=RunIDFB75BE924FEC3CE5D0235DA8F464B135
DDCTransactionIdC4D61F1C454E52502D595DB8F66DB5AF_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_55809E694EE7DB292235CC917A5C5__60C01A3D2DE5A93AFF7EF8C568AEB262FC04DA19, StartTime=2016.05.09-01.54.13, HierarchicalDDC=, DataSize=8455, Duration=0.017758, RunGuid=RunIDFB75BE924FEC3CE5D0235DA8F464B135
DDCTransactionId8FA851D1470CE95951FF7EB15DD3E6AC_10, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_55809E694EE7DB292235CC917A5C5__581C558B12F92DA8D70F4F628DF65CDCF5AECBC8, StartTime=2016.05.09-01.54.13, HierarchicalDDC=, DataSize=3860, Duration=0.016253, RunGuid=RunIDFB75BE924FEC3CE5D0235DA8F464B135
DDCTransactionId8EB258B941998CE259F34EAFF0E3B246_13, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7BC0404946D77A8C093A10AE0677E804_07_0000803F0000803F0000803F000000000000803F00000000000000000000803FCDCC4C3F000000000800000006000100000000000102000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.09-01.54.13, Duration=2.910867, RunGuid=RunIDFB75BE924FEC3CE5D0235DA8F464B135
